No,Category,Score,Reason,Group,Post Time,Post URL,Message
1,"🔵 QUESTION: 4 related terms",4,"🔵 QUESTION: 4 related terms","1925997401002801","3 ชั่วโมง","https://www.facebook.com/groups/1925997401002801/posts/4523214884614360/","อินเวอร์เตอร์ Inverter  8000W... ดูเพิ่มเติม"
2,"🟢 LOW: ค่าไฟ",4,"🟢 LOW: ค่าไฟ","383849116272497","1 วัน","https://www.facebook.com/groups/383849116272497/posts/1656698565654206/"," ด่วน! ค่าไฟรอบใหม่กำลังขยับขึ้นอีกแล้ว 
คณะกรรมการกำกับกิจการพลังงานมีมติให้ปรับขึ้นอัตราค่าไฟฟ้าผันแปร (Ft) ประจำงวดเดือนพฤษภาคมถึงสิงหาคม 2569 ซึ่งจะส่งผลให้ภาระ... ดูเพิ่มเติม"
3,"🟢 LOW: ค่าไฟ",4,"🟢 LOW: ค่าไฟ","383849116272497","1 วัน","https://www.facebook.com/groups/383849116272497/posts/1656698565654206/"," ด่วน! ค่าไฟรอบใหม่กำลังขยับขึ้นอีกแล้ว 
คณะกรรมการกำกับกิจการพลังงานมีมติให้ปรับขึ้นอัตราค่าไฟฟ้าผันแปร (Ft) ประจำงวดเดือนพฤษภาคมถึงสิงหาคม 2569 ซึ่งจะส่งผลให้ภาระ... ดูเพิ่มเติม"
4,"🟢 LOW: ค่าไฟ",4,"🟢 LOW: ค่าไฟ","383849116272497","1 วัน","https://www.facebook.com/groups/383849116272497/posts/1656698565654206/"," ด่วน! ค่าไฟรอบใหม่กำลังขยับขึ้นอีกแล้ว 
คณะกรรมการกำกับกิจการพลังงานมีมติให้ปรับขึ้นอัตราค่าไฟฟ้าผันแปร (Ft) ประจำงวดเดือนพฤษภาคมถึงสิงหาคม 2569 ซึ่งจะส่งผลให้ภาระ... ดูเพิ่มเติม"
5,"🟡 MEDIUM: longi",3,"🟡 MEDIUM: longi","383849116272497","2 วัน","https://www.facebook.com/groups/383849116272497/posts/1656090079048388/"," LONGi Hi-MO X10 650W (LR7-72HVH-650M)
 แผงโซลาร์ตัวท็อป HPBC 2.0
 กำลังผลิต 650W เต็ม
 Tier 1 Bloomberg
 รับประกัน 15 ปี / 30 ปี
ดูเพิ่มเติม"
6,"🟢 LOW: ช่วยแนะนำ",4,"🟢 LOW: ช่วยแนะนำ","2317142971864047","1 นาที","https://www.facebook.com/groups/2317142971864047/posts/4355150084729982/","ช่วยแนะนำร้านขายอินเวอร์เตอร์ตัวนี้หน่อยครับ แบบได้ของเลยไม่รอ pre order"
7,"🟢 LOW: ตาม",4,"🟢 LOW: ตาม","2317142971864047","2 นาที","https://www.facebook.com/groups/2317142971864047/posts/4355148808063443/","ตามหาบริษัทติดโซล่าเซลล์ที่ผ่อน 0% ได้ครับ"
8,"🟢 LOW: ช่วยแนะนำ",4,"🟢 LOW: ช่วยแนะนำ","2317142971864047","1 นาที","https://www.facebook.com/groups/2317142971864047/posts/4355150084729982/","ช่วยแนะนำร้านขายอินเวอร์เตอร์ตัวนี้หน่อยครับ แบบได้ของเลยไม่รอ pre order"
9,"🟢 LOW: ตาม",4,"🟢 LOW: ตาม","2317142971864047","2 นาที","https://www.facebook.com/groups/2317142971864047/posts/4355148808063443/","ตามหาบริษัทติดโซล่าเซลล์ที่ผ่อน 0% ได้ครับ"
10,"🟢 สนใจ/ซื้อ",6,"🟢 สนใจ/ซื้อ","2317142971864047","5 นาที","https://www.facebook.com/groups/2317142971864047/posts/4355146661396991/","ประกาศขาย inverter hybrid on off grid 6.2 k พร้อมแผง 19 แผง 315 วัตต์ในราคา 35,000บาทท่านใดสนใจของอยู่ที่ชลบุรีติดต่อได้ที่ 063-015-7484 ต้น"
