No,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),Contact,ScrapedAt (UTC+7)

"=== BUYER LEADS ==="

1,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4356614771250180/","แบต 40 KwH ราคาเท่าไหร่ครับ",9,"สนใจ/ซื้อ","2026-04-24 20:27","","2026-04-24 20:35:57"
2,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1297321279034601/","เห็นคนทำเอง หมดงบแค่หลักหมื่นหลักแสนต้นๆ
พอจ้างทำ ทำไมราคาไป2-3แสนได้ครับ หรือคนละสเปก..",9,"สนใจ/ซื้อ","2026-04-24 20:20","","2026-04-24 20:35:57"



"=== NOT BUYER LEADS (Filtered Out) ==="

1,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4064827703816855/"," แผงโซลาร์เซลล์ 245W - 250W แผงมือ2 สภาพดี พร้อมใช้งาน 
 แผงละ 550 บาท
 10 แผงขึ้นไป เหลือเพียง 530 บาท/แผง
... ดูเพิ่มเติม",0,"โฆษณาขาย","ตอบกลับเร็วมาก
 
18 นาที","","2026-04-24 20:35:57"
2,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1603755530734423/"," ชุดนอนนา 3000W suoer พร้อมแผง 100 วัตต์
 (ไม่รวมแบต) 
ชุดคอนโทรล ชาร์จเจอร์ โซล่าเซลล์ พลังงานแสงอาทิตย์ 12Vและ 12Vto 220V 
 ราคา  ฿4,955  บาท
สั่งชื้อ https://s.shopee.co.th/30kJ2yGhVN",0,"โฆษณาขาย","2026-04-24 19:58","","2026-04-24 20:35:57"
