No,Status,Group,Post URL,Message,Score,Reason
1,✅ Lead,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527414054194443/,#ติดตั้งแผงโซล่าเซลล์ #SolarRooftop #ประหยัดค่าไฟ #พลังงานแสงอาทิตย์,5,ผู้โพสต์ต้องการติดตั้งแผงโซล่าเซลล์บนหลังคาและสนใจประหยัดค่าไฟ จึงเป็นลูกค้าที่ส
2,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359385717639752/,"สอบถาม จะติดโซลล่าบนหลังคาจอดรถ แต่ไม่ชัวร์ว่าโดนตึก, ต้นไม้ บังมั๊ย
พอจะมีอุปกรณ์ตรวจสอบแสงแดดก่อนติดตั้งหรือไม่ครับ
กรณีถ้าเลี่ยงเงาบังบางช่วงเวลาไม่ได้ ควรจะติดแบบไหนดีครับ?",9,ผู้ใช้สนใจติดตั้งโซลาร์เซลล์บนหลังคาจอดรถ และถามเกี่ยวกับอุปกรณ์ตรวจสอบแสงแดดและ
3,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298868955546500/,"ช่วงนี้คนสนใจติดโซลาร์เซลล์กันเยอะ เข้าใจว่าแต่ละที่ยุ่ง ส่งถามไป 10ที่ ตอบมา 3 ที่ 

เลยอยากขอรีวิวเพื่อนๆที่ติดแล้ว หรือมัดจำไปแล้ว บริการของที่ไหนดีบ้างขอบริษัทที่อยู่ใน กทม นนทบุรี",8,สนใจติดโซลาร์เซลล์ ส่งสอบถามไป 10 ที่ มัดจำไปแล้ว กำลังหารีวิวและหาบริษัทใน กทม/
4,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298997635533632/,"ต้องการติดตั้งโซลาร์เซลล์+แบต ครับ
กำลังดูไว้เป็น ชุด 5 kWh 1 เฟส + แบต 16 kW
ใช้ไฟกลางคืนส่วนใหญ่ครับ
ปกติค่าไฟประมาณ 3000-4000 บาท/เดือน
ดูเพิ่มเติม",8,เป็นผู้ต้องการติดตั้งโซลาร์เซลล์+แบต มีความต้องการชัดเจน ระบุขนาดที่ต้องการ (5 k
5,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299541712145891/,"อยากติดโซล่า
ใช้แอร์ 2 ตัว ตู้เย็น 1 รถEV
ใช้ระบบไหนดีครับ
ค่าไช้จ่ายประมาณเท่าไหร่คับ 5kw+
ขอบคุณไว้ล่วงหน้าครับ",10,ต้องการติดตั้งโซล่าเซลล์ (ติด = ติดตั้ง) ระบุการใช้ไฟฟ้า แอร์ 2 ตัว ตู้เย็น EV ถ
6,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298326902267372/,คนที่ติดโซล่าเซลไปแล้วรีวิวหน่อยค่ะว่าใช้แบรนด์ไหนกันบ้าง พอดีมีแพลนจะติดแต่ลังเลว่าควรเลือกแบบไหน แบรนด์ไหนดีคะ,8,ผู้โพสต์ระบุชัดเจนว่า 'มีแพลนจะติด' (มีแผนจะติดตั้ง) และกำลังหารีวิวแบรนด์เพื่อต
7,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298916208875108/,"หาบริษัทที่น่าเชื่อถือ ติดตั้งโซล่าเซลอยากได้inverter :Huawei
ในกทม ค่าไฟประมาณ 4,500-6,500 บาท/เดือนครับ
รายละเอีนดใช้ไฟ ในคอมเม้น",9,ผู้ใช้กำลังหาบริษัทติดตั้งโซล่าเซลล์อย่างชัดเจน มีความต้องการเฉพาะ (Huawei inver
8,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298934505539945/,"หาช่างมีผลงานทำโซล่าเซลล์อาคาร 10kw 28 โครงการในขอนแก่น,ชัยภูมิ
0644495288 วันธรรมดา",9,ผู้โพสต์ต้องการจ้างช่างที่มีผลงานติดตั้งโซล่าเซลล์สำหรับอาคารขนาด 10 kW มีโครงกา
9,✅ Lead,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605886363854673/, ค่าไฟแพงแบบนี้…ต้องรีบติดโซล่าเซลล์... ดูเพิ่มเติม,7,แสดงความต้องการติดตั้งโซล่าเซลล์เนื่องจากค่าไฟแพง มีเจตนาซื้อและติดตั้งชัดเจน
10,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527415850860930/,"บริษัท เอราวัณ โซล่าร์ รับสมัครพนักงานติดตั้ง 1 ตำแหน่ง(ชาย)
****-วิศวกร งานติดตั้งระบบไฟฟ้า/โซล่าร์ 18,000-28,000 บาท/เดือน (มีประสบการณ์)***
****-ช่างติดตั้งระบบโซล่าร์ บ้าน/โรงงาน 3 ตำแหน่ง(ชาย) ค่",0,โพสต์นี้เป็นประกาศรับสมัครพนักงานติดตั้งโซลาร์ของบริษัท เอราวัณ โซล่าร์ ซึ่งเป็น
11,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527397097529472/,"สนใจแผงโซล่าเซลล์Aiko 
สินค้ามีพร้อมส่ง Aiko650w ค่ะ
สั่งซื้อสอบถามติดต่อเกได้เลยค่ะ
โทร.065-9569689   
แอดไลน์ID gaga 65
สนใจแผงโซล่าเซลล์Aiko ... ดูเพิ่มเติม",0,ผู้โพสต์เป็นผู้ขายแผงโซล่าเซลล์ Aiko พร้อมส่ง มีเบอร์โทรและไลน์ให้ติดต่อสั่งซื้อ
12,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527410104194838/,"ลิเธียม 3.2v 314Ah *** สินค้าใหม่ ในราคา ฿9,990ที่ Shopee
พิกัดลิงก์
https://s.shopee.co.th/BQBrByg1q",0,Error: Expecting ':' delimiter: line 
13,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527409367528245/,THAI UNION... ดูเพิ่มเติม,0,โพสต์เป็นแค่ชื่อเพจ THAI UNION ไม่มีเจตนาซื้อหรือติดตั้งโซลาร์เซลล์
14,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527406350861880/,"สต๊อกแผงโซล่าเซลล์ 600W RAPD แบบจุกๆ 80 เรท
✅ ราคาปลีก
✅ ราคาส่ง... ดูเพิ่มเติม",0,โพสต์เป็นการขายแผงโซลาร์เซลล์ แสดงราคาปลีกและราคาส่ง ไม่มีความต้องการซื้อหรือติด
15,❌ Rejected,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1659722728685123/," แผงโซลาร์เซลล์ 245W มือสอง สภาพสวย ใช้งานได้จริง 
  ... ดูเพิ่มเติม",2,โพสต์นี้เป็นการขายแผงโซลาร์เซลล์มือสอง ไม่ได้ระบุว่าผู้โพสต์ต้องการซื้อหรือติดตั
16,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359386304306360/,"ขออนุญาตแอดมินค่ะ
มีแผงโซล่าเซลล์พร้อมส่งค่ะ Aiko650w
4.8-4.9 /w 3,120-3,185 ต่อแผง
ราคาไม่รวมvat. ไม่รวมส่งค่ะ
ค่าขนส่งคิดตามระยะทาง
ดูเพิ่มเติม",0,ผู้โพสต์เป็นผู้ขายแผงโซล่าเซลล์ Aiko 650W โดยระบุราคาและเงื่อนไขการขาย ไม่ได้แสด
17,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359383960973261/,ยินดีกับลูกค้าโซล่าเชลล์บ้านด้วยนะครับ ธนาคารอนุมัติแล้วครับ,0,ผู้โพสต์เป็นตัวแทนขายหรือผู้ให้บริการโซลาร์เซลล์ ไม่ได้แสดงความต้องการซื้อหรือติ
18,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359382684306722/," ล้างแผงตรวจเช็คระบบให้การทำงานมีประสิทธิภาพดีขึ้น
#กระบี่โซล่าเซลล์ตรงข้ามไปรษณีย์เหนือคลอง
#งานล้างแผงตรวจเช็คระบบ
#พลังงานทางเลือกพลังงานทางรอด
#ติดตั้งก่อนประหยัดก่อน
ดูเพิ่มเติม",0,เป็นโพสต์ของผู้ให้บริการรับล้างแผงและตรวจเช็คระบบโซลาร์เซลล์ ขายบริการMaintenanc
