No,Group,Post URL,Message,PostTime,ScrapedAt
1,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527509520851563/,240W แผงละ 499 บาท... ดูเพิ่มเติม,7 นาที,2026-04-27 12:29:20
2,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527509310851584/,"จำหน่ายแผงโซล่าร์เซลล์
คุณภาพมาตรฐานระดับโลก Tier 1... ดูเพิ่มเติม",7 นาที,2026-04-27 12:29:20
3,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527500667519115/,"ราคาไม่แพงแบตลิเธียมประกอบแบตเต็มตรงปก 24 v(25.9- 29.4) 246 ah ผ่อนได้ด้วย พร้อมส่งมีเก็บเงินปลายทาง
https://s.shopee.co.th/gMSZu8WRO",20 นาที,2026-04-27 12:29:20
4,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527489487520233/,อยากเปิดแอร์ไฟฟรีกลางวันไม่ว่าจะเป็นแอร์อินเวอร์เต​อร์​หรือแอร์ Fix speed  900... ดูเพิ่มเติม,32 นาที,2026-04-27 12:29:25
5,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527488474187001/, 5 อันดับ Inverter ยอดเยี่ยมในไทย (2025)... ดูเพิ่มเติม,33 นาที,2026-04-27 12:29:31
6,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527481434187705/,"รับติดตั้งระบบโซล่าเซลล์ทั่วประเทศ เพียงแต่คุณมีอุปกรณ์ครบ ติดต่อ 093-262-3299
เงื่อนไขดังนี้... ดูเพิ่มเติม",42 นาที,2026-04-27 12:29:36
7,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1659722728685123/," แผงโซลาร์เซลล์ 245W มือสอง สภาพสวย ใช้งานได้จริง 
  ... ดูเพิ่มเติม",2 วัน,2026-04-27 12:29:54
8,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1657457405578322/,"⚠️ ด่วน! ค่าไฟรอบใหม่ขึ้นอีกแล้ว ⚠️
พ.ค. – ส.ค. 𝟐𝟓𝟔𝟗 นี้ ค่า 𝐅𝐭 ปรับขึ้นเป็น 𝟎.𝟏𝟔𝟐𝟑 บาท/หน่วย จากเดิม 𝟎.𝟎𝟗𝟕𝟐 บาท/หน่วย แปลว่าทั้งบ้านและธุรกิจต้องเตรี... ดูเพิ่มเติม",4 วัน,2026-04-27 12:30:10
9,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359490000962657/,อยากทำโรงจอดรถ3ช่องจอด พร้อมโซล่าเซลล์5กิโลวัตต์ ใส่แบตเตอรี่สัก15กิโลวัตต์ ขอบริษัทออกใบเสร็จ เอาไปลดภาษีได้ครับ(ไฟ3เฟส),1 นาที,2026-04-27 12:30:25
10,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359489187629405/,มีพี่คนไหนรับทำระบบไฟบ้านเป็นไฟสามเฟสบ้างครับเพื่อที่จะยื่นขอการไฟฟ้า เป็นระบบสามเฟสครับ,1 นาที,2026-04-27 12:30:25
11,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359488074296183/,ช่วงนี้ บ.ติดตั้ง โซล่าเซลล์ ไม่ค่อยอยากรับงานกันเหรอครับ ส่งข้อความหายหลายเจ้... ดูเพิ่มเติม,3 นาที,2026-04-27 12:30:25
12,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359486554296335/,"วันนี้รันระบบ เปิดแอร์ 24,000 BTU ใช้งานจากแผงล้วนๆ เอาอยู่ เปิดเครื่องทำน้ำอุ... ดูเพิ่มเติม",5 นาที,2026-04-27 12:30:25
13,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359486387629685/,"แบตชาร์จไม่เต็มเติมแผง แผงชาร์จเต็มเร็วเติมแบต
วนอยู่ 2 อย่างนี้ จริงๆ",6 นาที,2026-04-27 12:30:31
