No,Group,Post URL,Message,PostTime (UTC+7),ScrapeAt (UTC+7)
1,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527572074178641/,ด่วนค่า inbox เลย,1 นาที,2026-04-27 13:50:25
2,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527558810846634/,"ลงทุนกับอินเวอเตอร์ไม่เสียใจสักวัน
ไม่ต้องกังวลเรื่องค่าไฟอีกต่อไปถ้าติดตั้ง Luxpower tex อินเวอร์เตอร์ ไฮบริด ออน-ออฟกริด off grid hibrid inverter 48v 6kw-12kw สนใจส... ดูเพิ่มเติม",20 นาที,2026-04-27 13:50:26
3,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527543977514784/,"ของใหม่มือ 1 เก็บเงินปลายทาง
... ดูเพิ่มเติม",40 นาที,2026-04-27 13:50:26
4,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527538524181996/,สนใจสินค้าทักแชทสอบถามได้นะคะ หรือทักแชทสอบถามทางเพจ JPEN Market ได้เลยนะคะ หร... ดูเพิ่มเติม,49 นาที,2026-04-27 13:50:32
5,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527537707515411/,"15 ตัวสุดท้ายค่า 39,800 (ex vat) ส่งฟรีค่ะ",50 นาที,2026-04-27 13:50:37
6,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527537540848761/,ราคา 150 บาท... ดูเพิ่มเติม,50 นาที,2026-04-27 13:50:37
7,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527534290849086/,ราคาทั้งชุด 67 บาท,54 นาที,2026-04-27 13:50:44
8,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527509520851563/,240W แผงละ 499 บาท... ดูเพิ่มเติม,1 ชั่วโมง,2026-04-27 13:50:48
9,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1659722728685123/," แผงโซลาร์เซลล์ 245W มือสอง สภาพสวย ใช้งานได้จริง 
  ... ดูเพิ่มเติม",2 วัน,2026-04-27 13:51:06
10,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1657457405578322/,"⚠️ ด่วน! ค่าไฟรอบใหม่ขึ้นอีกแล้ว ⚠️
พ.ค. – ส.ค. 𝟐𝟓𝟔𝟗 นี้ ค่า 𝐅𝐭 ปรับขึ้นเป็น 𝟎.𝟏𝟔𝟐𝟑 บาท/หน่วย จากเดิม 𝟎.𝟎𝟗𝟕𝟐 บาท/หน่วย แปลว่าทั้งบ้านและธุรกิจต้องเตรี... ดูเพิ่มเติม",4 วัน,2026-04-27 13:51:28
11,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1657456818911714/," ด่วน! ค่าไฟรอบใหม่ขึ้นอีกแล้ว 
... ดูเพิ่มเติม",4 วัน,2026-04-27 13:51:33
12,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359550877623236/,เสียบแบบนี้ถูกไหมครับ,3 นาที,2026-04-27 13:51:46
13,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359545170957140/,ATS ตัวไหนดี อิน 20K,10 นาที,2026-04-27 13:51:46
14,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359539360957721/,ขออนุญาตครับ ... ดูเพิ่มเติม,14 นาที,2026-04-27 13:51:46
15,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359537967624527/,สอบถาม ขอคำแนะนำหน่อยคับ ปกติ ใช้ไฟ 7-9kwh  ใช้ไฟ กลางวัน100% ช่วง8:00-17:00   ติด10k พอไหมคับ,16 นาที,2026-04-27 13:51:46
16,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359535907624733/,"สอบถามราคาครับ

มีเจ้าเสนอ 20x,xxx มา
แต่คิวช่างไกลมากครับ
เลยจะหาเจ้าอื่นที่มีคิวเทียบครับ

หน้างานมีนบุรี ครับ

1.แผงโซล่าเซลล์ Aiko 670 วัตต์ ... ดูเพิ่มเติม",19 นาที,2026-04-27 13:51:51
17,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359534750958182/,แนะนำร้านประกอบตู้คอมไบน์เนอ 10k 1เฟส ที่รอคิวไม่นานมากหน่อยคับ,21 นาที,2026-04-27 13:51:51
18,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359526947625629/,"ปรึกษาน่อยครับ อยากผ่อน
มีที่ไหน ช่วยแนะนำไหมครับ 5-6kw hybrid",31 นาที,2026-04-27 13:51:56
19,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359526590958998/,ปกติค่าcca แบตพวกนี้จะอยู่ที่เท่าไหร่ครับ..ตอนก่อนถอดตอนหลังถอดระบบ 24 โวลท์... ดูเพิ่มเติม,32 นาที,2026-04-27 13:52:00
20,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299034915529904/,"สนใจติด solar hybrid โซนบางแค
ลดหย่อนภาษีได้
มีให้ผ่อนหรือสินเชื่อ
ค่าไฟประมาณ 3,000 บาท",17 ชั่วโมง,2026-04-27 13:52:16
21,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299621202137942/,ปรึกษาคา... ดูเพิ่มเติม,1 ชั่วโมง,2026-04-27 13:52:16
22,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299632975470098/,"สอบถามครับ
แผงบนหลังคา 5 kw ควรผลิตไฟได้มากที่สุดเท่าไรครับ
ช่วงแดดจัดที่สุดของวัน ไม่ควรต่ำกว่าเท่าไรครับ จะได้ขึ้นไปล้างแผง เพื่อให้ได้ประสิทธิภาพที่ควรจะเป็น
ตอนนี้ช่วงแดดจัดที่สุด ผลิตได้ 3.4 kw",1 ชั่วโมง,2026-04-27 13:52:16
23,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298719382228124/,ต้องการติดโซล่าเซล แถวบางแสนค่ะ มีที่ไหนรับติดบ้างค่ะ ขอ contact หน่อยจ้า เด๋วมาไล่หา ขอบคุณค่ะ,1 วัน,2026-04-27 13:52:29
24,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298081352291927/,มีใครทำแบบนี้บ้างครับ คุ้มไหม ที่บ้านติด8kw แต่ยังไม่ติด wall charger แต่ไม่อย... ดูเพิ่มเติม,1 วัน,2026-04-27 13:52:29
25,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1296500702449992/,บออนุญาตสอบถามครับ มีใครยื่นขอสินเชื้อออมสินบ้างแล้วครับ,3 วัน,2026-04-27 13:52:33
26,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299130755520320/,"ให้ไวเลยครับ รอบนี้เหลือแค่200แผง รีบเลยอย่ามัวรอ!!
310W แผงละ 690 บาท 
ไม่แตก ไม่ร้าว มือ 2 สภาพนางฟ้า
พิกัด
 นครสวรรค์ #ส่งได้ #ไม่มีปลาย
#กลัวโกงมารับเองนะครับ
ดูเพิ่มเติม",15 ชั่วโมง,2026-04-27 13:52:43
27,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4067522253547400/,แบตเตอรี่ลิเธียม 48 v 100a. ปี 22  ใช้งานปกติ นัดรับอ่างทอง หรือใกล้เคียง,"ตอบกลับเร็วมาก
 
27 นาที",2026-04-27 13:53:00
28,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4067519676880991/,"สลิปเคส​ 3/2 1-2 + มอเตอร์​ 30 แรง​รอบ​ 1400​ ตัวนี้เน้นส่งสูง​ เพราะใบพัดโตเรียว​ ดันน้ำเข้าท่อ​ เมน​ 4​ ดีงาม​ 105 ฟุต​ (30 เมตร)​ สบาย
2​ ชุดนี้มีเจ้าของแล้ว
สนใจแบบไหน​ โทรมาคุยกับลุงได้
081649151",30 นาที,2026-04-27 13:53:00
29,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4066268097006149/,Changer... ดูเพิ่มเติม,1 วัน,2026-04-27 13:53:00
30,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4061443357488623/,"TRINA SOLAR
ซื้อจำนวนเยอะ
EPC
มีราคาพิเศษ... ดูเพิ่มเติม",6 วัน,2026-04-27 13:53:12
31,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4067412926891666/," แผงโซลาร์เซลล์ 245W - 250W แผงมือ2 สภาพดี พร้อมใช้งาน 
 แผงละ 550 บาท
 10 แผงขึ้นไป เหลือเพียง 530 บาท/แผง
... ดูเพิ่มเติม","ตอบกลับเร็วมาก
 
3 ชั่วโมง",2026-04-27 13:53:18
32,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4063460377286921/,มาๆมาแล้ว  แผงมือ 2  ที่คุณอยากได้  ราคาถูก !!  แผง 310 w มือ2  ใช้สูบน้ำ ปั้ม... ดูเพิ่มเติม,4 วัน,2026-04-27 13:53:23
33,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4067412900225002/,"ขออนุญาตแอดมินค่ะ 
เลิกเกรงใจมิเตอร์ไฟ! เปิดแอร์ฉ่ำๆ ได้ทั้งคืน ไม่ต้องกลัวบิลสิ้นเดือน
.
 ไม่ต้องจ่ายเงินก้อน ก็ติดตั้งได้
 ผ่อนรายเดือน สูงสุด 84 เดือน
... ดูเพิ่มเติม",3 ชั่วโมง,2026-04-27 13:53:33
34,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605982830511693/," โคมไฟโซล่าเซลล์ 120w สปอตไลท์ โคมไฟสปอร์ตไลท์ติดสนาม ไฟพลังงานแสงอาทิตย์ ไฟกลางแจ้ง ไฟสวนโซล่าเซลล์ 
 ราคา  ฿626  บาท
สั่งซื้อ https://s.shopee.co.th/4AwKnYXbZ0
สั่งซื้อ https://s.lazada.co.th/s.ZgGU",1 ชั่วโมง,2026-04-27 13:53:45
35,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605965847180058/,"จำหน่ายแผงโซล่าร์เซลล์
คุณภาพมาตรฐานระดับโลก Tier 1... ดูเพิ่มเติม",1 ชั่วโมง,2026-04-27 13:53:45
36,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605932430516733/,"แผงโซลาร์เซลล์ 245W มือสอง
ราคา 550บาท / แผง
ซื้อ 10 แผงขึ้นไป เหลือ 530 บาท / แผง
หน้าร้าน สระบุรี
 พิกัดทักแชต
ดูเพิ่มเติม",2 ชั่วโมง,2026-04-27 13:53:45
37,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605920130517963/,"ขออนุญาตแอดมินค่ะ 
เลิกเกรงใจมิเตอร์ไฟ! เปิดแอร์ฉ่ำๆ ได้ทั้งคืน ไม่ต้องกลัวบิลสิ้นเดือน
.
 ไม่ต้องจ่ายเงินก้อน ก็ติดตั้งได้
 ผ่อนรายเดือน สูงสุด 84 เดือน
ดูเพิ่มเติม",2 ชั่วโมง,2026-04-27 13:53:49
38,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605898613853448/,"จำหน่ายแผงโซล่าร์เซลล์
คุณภาพมาตรฐานระดับโลก Tier 1... ดูเพิ่มเติม",3 ชั่วโมง,2026-04-27 13:53:53
39,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605886363854673/, ค่าไฟแพงแบบนี้…ต้องรีบติดโซล่าเซลล์... ดูเพิ่มเติม,3 ชั่วโมง,2026-04-27 13:53:58
40,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605842747192368/,"แผงโซล่าเซลล์ 245 วัตต์ มือ2
สภาพสวย พร้อมใช้งาน
[
ของมีจำนวนจำกัด
]
ราคา550/แผง
ซื้อ10แผงขึ้นไป เหลือ530/แผง
ดูเพิ่มเติม",5 ชั่วโมง,2026-04-27 13:54:09
