No,Status,Group,Post URL,Message,Score,Reason
1,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359434787634845/,"แบตใช้ทุกวันไฟมาปกติไฟแต่ละเซลก็ปกติ
จะเคลื่อนย้ายมันยกไม่ไหวก็เปิดแกะจะเอาไปประกอบที่ใหม่
โอ้แม่เจ้าาา ไม่เปิดดูก็ไม่รู้ ไม่บวมแต่มีคราบ
ใครมีแบตLFP 280Ah แจ้งมาครับ อยากได้2ก้อน
ถ้าจะหลับหูหลับตาประ",6,กำลังมองหาซื้อแบตเตอรี่ LFP 280Ah จำนวน 2 ก้อน เพื่อนำไปประกอบติดตั้งที่ใหม่ แสด
2,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359425714302419/,ค่าไฟ 5000 ต่อเดือน กลางคืน แอร์24000 btu 1 ตัว นอกน้้นเป็นไฟกลางวัน ใช้ ชุดไหนเหมาะสุดครับ,8,ผู้โพสต์ถามเกี่ยวกับชุดโซลาร์เซลล์ที่เหมาะสมกับการใช้ไฟฟ้าของตน แสดงถึงความสนใจใ
3,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359422744302716/,"แนะนำร้านที่รับติดโซล่า แบบ hybrid  ที่สนใจ ใส่ใจลูกค้าหน่อยค่ะ เจอเทมาหลายเพจละค่ะ 
Note 
Inverter  5kw 
แบต 5kw-10 kw ค่ะ
และขอลดหย่อนภาษีได้",9,"ผู้โพสต์ต้องการร้านติดตั้งโซลาร์รูปแบบ hybrid มีสเปคชัดเจน (Inverter 5kw, แบต 5-"
4,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359422697636054/,ช่วยแนะนำแหล่งซื้ออินวอเตอร์ Huawei ให้ทีครับ,7,ต้องการซื้ออินวอเตอร์ Huawei ซึ่งเป็นอุปกรณ์โซลาร์เซลล์ แสดงว่ากำลังหาแหล่งซื้อเ
5,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298719382228124/,ต้องการติดโซล่าเซล แถวบางแสนค่ะ มีที่ไหนรับติดบ้างค่ะ ขอ contact หน่อยจ้า เด๋วมาไล่หา ขอบคุณค่ะ,9,ต้องการติดตั้งโซล่าเซลล์และขอ contact สำหรับผู้ให้บริการ พร้อมที่จะติดต่อและสั่ง
6,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298916208875108/,"หาบริษัทที่น่าเชื่อถือ ติดตั้งโซล่าเซลอยากได้inverter :Huawei
ในกทม ค่าไฟประมาณ 4,500-6,500 บาท/เดือนครับ
รายละเอีนดใช้ไฟ ในคอมเม้น",9,ต้องการติดตั้งโซล่าเซลล์ ระบุพื้นที่กรุงเทพฯ ต้องการ inverter Huawei และระบุค่าไ
7,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298868955546500/,"ช่วงนี้คนสนใจติดโซลาร์เซลล์กันเยอะ เข้าใจว่าแต่ละที่ยุ่ง ส่งถามไป 10ที่ ตอบมา 3 ที่ 

เลยอยากขอรีวิวเพื่อนๆที่ติดแล้ว หรือมัดจำไปแล้ว บริการของที่ไหนดีบ้างขอบริษัทที่อยู่ใน กทม นนทบุรี",8,ผู้投稿ต้องการติดตั้งโซลาร์เซลล์และกำลังเปรียบเทียบบริษัท ถามไป 10 ที่ เลือกบริการ
8,✅ Lead,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4061443357488623/,"TRINA SOLAR
ซื้อจำนวนเยอะ
EPC
มีราคาพิเศษ... ดูเพิ่มเติม",9,投稿者は「TRINA SOLAR ซื้อจำนวนเยอะ」（Trina Solar を大量購入したい）と明示的に記載しており、ソーラーパネル購入意图が明確で
9,✅ Lead,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605886363854673/, ค่าไฟแพงแบบนี้…ต้องรีบติดโซล่าเซลล์... ดูเพิ่มเติม,8,แสดงความต้องการติดตั้งโซล่าเซลล์เนื่องจากค่าไฟแพง มีเจตนาชัดเจนในการซื้อ/ติดตั้ง
10,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527457894190059/,"เปิดจองแผง AIKO 670 ,AIKO770 Duoglass [์NEW]
สัมผัสความล้ำสมัยกับแผงโซลาร์เซลล์ 𝐀𝐈𝐊𝐎 𝐂𝐨𝐦𝐞𝐭 𝟔𝟕𝟎𝐖 ที่มาพร้อมเทคโนโลยี 𝐀𝐁𝐂 (𝐀𝐥𝐥 𝐁𝐚𝐜𝐤 𝐂𝐨𝐧𝐭𝐚𝐜𝐭) เจ้าแรกในไทย!


 ประสิทธิภาพสูงสุด: 𝐌𝐨𝐝𝐮𝐥𝐞 𝐄𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐜𝐲 สูงถึง ",0,โพสต์เป็นการเปิดจองแผงโซลาร์เซลล์เพื่อขาย ไม่ได้แสดงความต้องการซื้อหรือติดตั้ง
