No,Status,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),ScrapeAt (UTC+7)
1,✅ Lead,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1657456818911714/," ด่วน! ค่าไฟรอบใหม่ขึ้นอีกแล้ว 
... ดูเพิ่มเติม",6,แสดงความกังวลเรื่องค่าไฟที่เพิ่มขึ้น ซึ่งบ่งบอกถึงความต้องการหาทางออกเพื่อลดค่าใ,4 วัน,2026-04-27 15:10:52
2,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359610360950621/,"สอบถามหน่อยครับ พอดีอยากใช้โซล่าเซลล์แอร์ 12,000BTU INVERTER  Daikin งบประมาณเท่าไหร่ครับ",7,ต้องการทราบราคางบประมาณในการติดตั้งโซล่าเซลล์สำหรับแอร์ แสดงว่าสนใจซื้อ/ติดตั้ง ,4 นาที,2026-04-27 15:11:10
3,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359607710950886/,ผลงานันนี้ครับ สนใจติดตั้งโซล่าเชลล์เงินผ่อนติดต่อ0894429027,9,ผู้โพสต์แสดงความสนใจติดตั้งโซลาร์เซลล์และให้เบอร์ติดต่อ แสดงว่าพร้อมซื้อ,8 นาที,2026-04-27 15:11:10
4,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359581724286818/,"แนะนำ on-off grid ระบบ 48 หม้อแปลงให้ตัวนึงครับ
จะเอาไปสำรองไฟแอร์
ขอบคุณครับ",7,ผู้ใช้ต้องการซื้อ/ติดตั้งระบบโซลาร์เซลล์ on-off grid 48V สำหรับสำรองไฟแอร์ มีควา,42 นาที,2026-04-27 15:11:35
5,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299709005462495/,"กลางคืนใช้ไฟ แอร์18,000BTU แบบไม่มีอินเวอร์เตอร์1เครื่องและตู้เย็นเครื่องใหญ่1เครื่อง ควรใช้แบตเท่าไหร่คับที่สามารถถึงเช้าเลย",8,ผู้โพสต์ถามเกี่ยวกับการเลือกขนาดแบตเตอรี่สำหรับใช้ตอนกลางคืนกับแอร์และตู้เย็น ซึ,15 นาที,2026-04-27 15:11:48
6,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299621202137942/,ปรึกษาคา... ดูเพิ่มเติม,5,ผู้โพสต์แสดงความสนใจปรึกษาเกี่ยวกับโซลาร์เซลล์ และต้องการดูข้อมูลเพิ่มเติม บ่งชี,2 ชั่วโมง,2026-04-27 15:11:48
7,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298868955546500/,"ช่วงนี้คนสนใจติดโซลาร์เซลล์กันเยอะ เข้าใจว่าแต่ละที่ยุ่ง ส่งถามไป 10ที่ ตอบมา 3 ที่ 

เลยอยากขอรีวิวเพื่อนๆที่ติดแล้ว หรือมัดจำไปแล้ว บริการของที่ไหนดีบ้างขอบริษัทที่อยู่ใน กทม นนทบุรี",8,กำลังหาข้อมูลติดตั้งโซลาร์เซลล์ ส่งสอบถามบริษัทไปแล้ว10แห่ง ขอรีวิวและเปรียบเทีย,23 ชั่วโมง,2026-04-27 15:12:01
8,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527617314174117/,"670 w พร้อมส่งครับ
ปรีกษาทีมงานฝ่ายขาย
 : 095-5718884  เซลฟิวส์... ดูเพิ่มเติม",0,โพสต์นี้เป็นผู้ขายที่โฆษณาขายแผงโซลาร์เซลล์ 670W พร้อมเบอร์ติดต่อฝ่ายขาย ไม่ใช่ผ,14 นาที,2026-04-27 15:09:48
9,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527617240840791/," ส่งมอบงานโซล่าเซลล์ โซล่ารูฟท็อป 
 จบไปเรียบร้อยกับอีก 1 ผลงาน การติดตั้ง
... ดูเพิ่มเติม",0,ผู้โพสต์เป็นผู้ติดตั้ง/จำหน่ายโซล่าเซลล์ ไม่ใช่ผู้ต้องการซื้อหรือติดตั้ง,14 นาที,2026-04-27 15:09:48
10,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527616724174176/,สนใจงานติดตั้ง โซล่าเซลล์ ติดต่อทางเพจได้เลยนะคะ,1,ผู้โพสต์สนใจงานติดตั้งโซล่าเซลล์ แปลว่าเป็นผู้ให้บริการติดตั้ง (SELLER) ไม่ใช่ผู,15 นาที,2026-04-27 15:09:48
11,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527603964175452/,"RAPD ส่งฟรี Li - BATTERY Lithium 300Ah 200Ah 100Ah 51.2 V มีให้เลือก 3แบบ (NEW)
 https://s.shopee.co.th/5L8IGIiNct
 https://s.lazada.co.th/s.ZgG9ML?t=p-i6YYjZo-sSIKWAX",0,ผู้โพสต์เป็นผู้ขายแบตเตอรี่ลิเธียมบนแพลตฟอร์มออนไลน์ ไม่ใช่ผู้ที่ต้องการซื้อหรือ,33 นาที,2026-04-27 15:09:53
12,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527593107509871/,ผู้รับเหมา / ร้านติดตั้งโซลาร์ ห้ามเลื่อนผ่านโพสต์นี้!... ดูเพิ่มเติม,0,โพสต์มุ่งเป้าหมายถึงผู้รับเหมาหรือร้านติดตั้งโซลาร์ ไม่ใช่ลูกค้าที่ต้องการซื้อหร,48 นาที,2026-04-27 15:09:59
13,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527592940843221/,"สายไฟ PV Cable สายไฟ PV ขนาด 6 sq.mm.ยี่ห้อ LINK สีแดง/ดำ 1,000R M. /Roll... ดูเพิ่มเติม",0,โพสต์เป็นการประกาศขายสายไฟ PV Cable ไม่ได้แสดงความต้องการซื้อหรือติดตั้งระบบโซลา,48 นาที,2026-04-27 15:10:03
14,❌ Rejected,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1659722728685123/," แผงโซลาร์เซลล์ 245W มือสอง สภาพสวย ใช้งานได้จริง 
  ... ดูเพิ่มเติม",0,ผู้โพสต์ขายแผงโซลาร์เซลล์มือสอง (SELLER) ไม่ใช่ผู้สนใจซื้อหรือติดตั้ง,2 วัน,2026-04-27 15:10:18
15,❌ Rejected,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1657457405578322/,"⚠️ ด่วน! ค่าไฟรอบใหม่ขึ้นอีกแล้ว ⚠️
พ.ค. – ส.ค. 𝟐𝟓𝟔𝟗 นี้ ค่า 𝐅𝐭 ปรับขึ้นเป็น 𝟎.𝟏𝟔𝟐𝟑 บาท/หน่วย จากเดิม 𝟎.𝟎𝟗𝟕𝟐 บาท/หน่วย แปลว่าทั้งบ้านและธุรกิจต้องเตรี... ดูเพิ่มเติม",0,โพสต์เป็นข่าวแจ้งเรื่องค่า Ft ไฟฟ้าขึ้น ไม่มีสัญญาณต้องการซื้อหรือติดตั้งโซลาร์เ,4 วัน,2026-04-27 15:10:42
16,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359611967617127/,แผงโซล่าเซลล์ขึ้นกี่%แล้ว ตั้งแต่ปีใหม่มาครับ,0,ผู้โพสต์เพียงถามเกี่ยวกับราคาแผงโซล่าเซลล์ที่ขึ้นไปกี่เปอร์เซ็นต์ตั้งแต่ปีใหม่ ซ,2 นาที,2026-04-27 15:11:10
17,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359608920950765/, ติดตั้งโซล่าเซลล์ พร้อมตะแกรงกันนก ครบจบในที่เดียว... ดูเพิ่มเติม,0,เป็นโพสต์ของผู้ให้บริการติดตั้งโซล่าเซลล์ ที่นำเสนอสินค้าและบริการ ไม่ใช่ผู้ที่ต,6 นาที,2026-04-27 15:11:10
18,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359603197618004/,ขออนุญาตปล่อยแบตใหม่ มือ 1 Cornex ลูกค้าจอง มัดจำแล้ว แต่เนื่องจากว่า ติดปัญหา... ดูเพิ่มเติม,0,โพสต์เป็นการปล่อยแบตใหม่ (ขาย) ไม่ได้แสดงความต้องการซื้อหรือติดตั้งโซลาร์เซลล์,14 นาที,2026-04-27 15:11:15
19,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359600564284934/," ส่งมอบงานโซล่าเซลล์ โซล่ารูฟท็อป 
... ดูเพิ่มเติม",0,โพสต์กล่าวถึงการส่งมอบงานติดตั้งโซล่าเซลล์ ไม่ได้แสดงเจตนาต้องการซื้อหรือติดตั้ง,17 นาที,2026-04-27 15:11:20
20,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359582850953372/,เกือบแล้วครับดีที่มาเห็น จุดที่ไม่โดนแสงกลายเป็นจุดที่มีความต้านทานสูงเลยร้อนเกือบไหม้,0,โพสต์กล่าวถึงปัญหาทางเทคนิคของแผงโซลาร์เซลล์ ไม่มีการแสดงความต้องการซื้อหรือติดต,40 นาที,2026-04-27 15:11:25
21,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359580600953597/,ระวังมิจครับเพื่อนเพื่อนพี่พี่น้อง,0,โพสต์เป็นคำเตือนเรื่องมิจฉูหริ่ง ไม่เกี่ยวข้องกับการซื้อหรือติดตั้งโซลาร์เซลล์,43 นาที,2026-04-27 15:11:35
