ID,Post URL,Message,Author,Type,Post Time,Scraped At
12,https://www.facebook.com/groups/thaisolarcell/posts/1294051566028239/,ขอทราบรายละเอียดติดแอร์สามเครื่องใช้งบประมาณเท่าไหร่ครับ ￼,Unknown,buyer,1 นาที,2026-04-20T09:13:05.327440
11,https://www.facebook.com/groups/2317142971864047/posts/4352129638365360/,"สนใจติดโซล่าเซลล์ Hybrid
มียี่ห้อไหนแนะนำบ้างครับ
รองรับ ev charger ในอนาคต",Unknown,buyer,1 นาที,2026-04-20T09:08:36.461846
10,https://www.facebook.com/groups/2317142971864047/posts/4352118751699782/,"4.2กิโลวัตต์ ชุดนอนนาขนาดกลางชุดสำเร็จพร้อมแบตเตอรี่ ไม่ต้องใช้ไฟหลวงก็ทำงานได้ ไปใส่แผงใส่งานได้เลยใช้แอร์ได้ทีวีตู้เย็นหลอดไฟสบาย ราคาโคตรคุ้ม
สนใจติดต่อ 0973177064 เสดำ",Unknown,buyer,1 นาที,2026-04-20T08:51:14.548966
9,https://www.facebook.com/groups/thaisolarcell/posts/1292396512860411/,"ถ้าติดแบบไม่ใส่แบตตอนแรก แล้วอยากเผื่อระบบให้ใส่แบตได้ในอนาคตได้ไหมคะ
ตอนนี้อยากลองติด 5kw ก่อนมิเตอร์ธรรมดา แต่ในอนาคตจะดูการใช้ไฟแล้วอาจติด tou มีใช้ไฟช่วงเย็นๆถึงหัวค่ำ เลยคิดว่าอยากใส่แบตในอนาคตได้ไหมคะ แล้วตัองติดยี่ห้อไหน ในอนาคตใส่แบต 300 a ต้องใช้งบเท่าไหร่",Unknown,buyer,2 วัน,2026-04-20T08:47:44.703195
8,https://www.facebook.com/groups/thaisolarcell/posts/1293283789438350/,"ถึงเวลาที่อยากติดโซล่าเซลล์ แล้วค่าาา 
 ใครมีบริษัทที่รับประกันดีๆ แนะนำหน่อยค่า
ต้องการ 10 kw 1 เฟส = 1 หลัง
และ 5 kw 1 เฟส = 1 หลัง
ติด 2 หลังเลยยย ",Unknown,buyer,23 ชั่วโมง,2026-04-20T08:33:45.812503
7,https://www.facebook.com/groups/thaisolarcell/posts/1294023469364382/,หาร้านขายอุปกรณ์เม้าติ้งแถวลาดกระบังครับ,Unknown,buyer,1 นาที,2026-04-20T08:16:25.776011
6,https://www.facebook.com/groups/thaisolarcell/posts/1292617426171653/,ติดโซล่า ค่าไฟประมาณ 5000-7000ต่อเดือน ติดแบบนี้ไหนดี ราคาประมาณเท่าไหร่  รังสิตติดโซล่า ค่าไฟประมาณ 5000-7000ต่อเดือน ติดแบบนี้ไหนดี ราคาประมาณเท่าไหร่  รังสิต,Unknown,buyer,1 วัน  · แชร์กับ กลุ่มสาธารณะ,2026-04-20T07:57:30.226613
5,https://www.facebook.com/groups/thaisolarcell/posts/1293980629368666/,"สอบถามสมาชิก ตอนนี้อยากติดแอร์โซลาเซลล์ ใช้งานแค่วันหยุดเสาร์ อาทิตย์ และวันหยุดนักขัตฤกษ์ ช่วยแนะนำร้านจำหน่ายแอร์โซล่าเซลล์ที่พร้อมติดตั้งและ บริการหลังการขายดีๆ ให้หน่อยครับ ผมอยู่พื้นที่โซนรามอินทรา
ขอบคุณครับ",Unknown,buyer,,2026-04-20T07:09:28.855199
3,https://www.facebook.com/groups/thaisolarcell/posts/1293943092705753/,ขอสอบถามครับผมต้องการติดระบบออนกริด การขออนุญาตกับทางการไฟฟ้า  กรณีเจ้าบ้านไปดำเนินการเอง  จะยุ้งยากไหมครับ,Unknown,buyer,,2026-04-20T05:47:07.882572
2,https://www.facebook.com/groups/thaisolarcell/posts/1293942536039142/,"สนใจติด 5kw 1เฟส ค่ะ
จะติดแบบที่เพิ่มแบตทีหลังได้
พิกัด คลองหลวง ปทุมธานี
เสนอราคามาได้เลย พร้อมติด",Unknown,buyer,,2026-04-20T05:47:00.285365
1,https://www.facebook.com/groups/thaisolarcell/posts/1293879842712078/,"หาบริษัทติดตั้ง solar cell ครับ ไฟ3เฟส ค่าไฟประมาณ3,500บาท เน้นใช้กลางวันครับ พื้นที่กรุงเทพ",Unknown,buyer,,2026-04-20T03:56:31.294000
